-7.524667230737367873e+00 -8.025822401517215710e+00 2.516981747987670559e+01
-7.574782747815352657e+00 -8.158616414636831848e+00 2.511800157322699789e+01
-7.633166114497500487e+00 -8.295647665316455033e+00 2.508235922707211785e+01
-7.699414269579396120e+00 -8.435929619131020019e+00 2.506351597007061827e+01
-7.773065804534558865e+00 -8.578400450610969230e+00 2.506200066435691554e+01
-7.853599269142200967e+00 -8.721919945507362826e+00 2.507823244037576416e+01
-7.940431336778717153e+00 -8.865268210296633811e+00 2.511250614490484523e+01
-8.032915024130508286e+00 -9.007146671290513495e+00 2.516497654198871459e+01
-8.130338188846508274e+00 -9.146181847683129362e+00 2.523564161451841770e+01
-8.231922554730170205e+00 -9.280932365456596500e+00 2.532432543428541294e+01
-8.336823535802812657e+00 -9.409899636032257320e+00 2.543066119659503954e+01
-8.444131145825757301e+00 -9.531542548685505878e+00 2.555407514573983008e+01
-8.552872286111732336e+00 -9.644296413549151126e+00 2.569377224112150415e+01
-8.662014698855474037e+00 -9.746596238626031194e+00 2.584872451943122229e+01
-8.770472852832529753e+00 -9.836904228355404456e+00 2.601766318279701551e+01
-8.877115990384817579e+00 -9.913741155384768078e+00 2.619907547157179195e+01
-8.980778506884812273e+00 -9.975720988474321871e+00 2.639120734871249141e+01
-9.080272755043763411e+00 -1.002158787056864142e+01 2.659207291728555944e+01
-9.174404266596251745e+00 -1.005025425041164233e+01 2.679947130393418675e+01
-9.261989264977792402e+00 -1.006083870234082767e+01 2.701101146543350140e+01
-9.341874208714095573e+00 -1.005270174968181784e+01 2.722414501701231870e+01
-9.412956962810868689e+00 -1.002547786665769536e+01 2.743620675381519902e+01
-9.474209053195551178e+00 -9.979101799434694442e+00 2.764446206486186242e+01
-9.524698327819464794e+00 -9.913827440789663825e+00 2.784615995584837478e+01
-9.563611239116486473e+00 -9.830237727269713233e+00 2.803858994412215466e+01
-9.590273887931809682e+00 -9.729244401916037788e+00 2.821914071054433037e+01
-9.604170939330231249e+00 -9.612076983641285821e+00 2.838535813137005803e+01
-9.604961543761337595e+00 -9.480260874571717622e+00 2.853500020385154912e+01
-9.592491476842376130e+00 -9.335585173877394283e+00 2.866608644412574591e+01
-9.566800846545877590e+00 -9.180061396338659918e+00 2.877693958003646557e+01
-9.528126901525155290e+00 -9.015874858618424526e+00 2.886621777063149352e+01
-9.476901697234483279e+00 -8.845330942585842848e+00 2.893293612550852245e+01
-9.413744621769620124e+00 -8.670798730936869703e+00 2.897647692341548264e+01
-9.339450032686345438e+00 -8.494654610488877822e+00 2.899658858397212313e+01
-9.254970490466599031e+00 -8.319228347654354039e+00 2.899337407069682016e+01
-9.161396276185374887e+00 -8.146753873794994050e+00 2.896726994485779016e+01
-9.059932035946335560e+00 -7.979326608105686169e+00 2.891901770695942986e+01
-8.951871493162270710e+00 -7.818868637603238803e+00 2.884962933079562575e+01
-8.838571207606367608e+00 -7.667102519010057016e+00 2.876034900632972224e+01
-8.721424338746736282e+00 -7.525533916547126445e+00 2.865261307105335220e+01
-8.601835296526775920e+00 -7.395442787179714372e+00 2.852800994713190263e+01
-8.481196045592069410e+00 -7.277882404379436565e+00 2.838824164462497279e+01
-8.360864681470806303e+00 -7.173685193896263357e+00 2.823508807437793777e+01
-8.242146732713353074e+00 -7.083474148371211143e+00 2.807037507220179862e+01
-8.126279474279138881e+00 -7.007678488439472275e+00 2.789594669886168532e+01
-8.014419375695172931e+00 -6.946552234026684758e+00 2.771364207180030093e+01
-7.907632661528325002e+00 -6.900194422857307330e+00 2.752527672047836660e+01
-7.806888837661223768e+00 -6.868569843144614495e+00 2.733262824630174492e+01
-7.713056938209563285e+00 -6.851529313363256435e+00 2.713742591238270307e+01
-7.626904175724932955e+00 -6.848828725218278457e+00 2.694134368481944009e+01
-7.549096630674267949e+00 -6.860146250928707445e+00 2.674599618926067635e+01
-7.480201592699712521e+00 -6.885097291041727630e+00 2.655293702579620785e+01
-7.420691162533914920e+00 -6.923246896321553656e+00 2.636365889258955875e+01
-7.370946735912678349e+00 -6.974119532442198732e+00 2.617959499541372637e+01
-7.331264015565630565e+00 -7.037206167802958490e+00 2.600212125866399049e+01
-7.301858230789363802e+00 -7.111968753582567082e+00 2.583255889720970444e+01
-7.282869283068684751e+00 -7.197842233550779234e+00 2.567217695287083146e+01
-7.274366578116894466e+00 -7.294234272563213217e+00 2.552219444115946700e+01
-7.276353347561526519e+00 -7.400522930980169889e+00 2.538378179141386681e+01
-7.288770305903391034e+00 -7.516052541490330974e+00 2.525806129600725214e+01
-7.311498529462085116e+00 -7.640128068823279328e+00 2.514610631241066940e+01
-7.344361483398205159e+00 -7.772008255041309432e+00 2.504893898686407638e+01
-7.387126160562516475e+00 -7.910897876392905204e+00 2.496752629229852261e+01
-7.439503332145555703e+00 -8.055939464280983842e+00 2.490277419855130248e+01
-7.501146945359098872e+00 -8.206204874135869076e+00 2.485551982285466366e+01
-7.571652738236775981e+00 -8.360687122348521072e+00 2.482652144638575464e+01
-7.650556176647951290e+00 -8.518292952323418987e+00 2.481644633181302240e+01
-7.737329854215498237e+00 -8.677836634373289115e+00 2.482585634067315183e+01
-7.831380532231277947e+00 -8.838035547499865530e+00 2.485519143114130358e+01
-7.932046033758137327e+00 -8.997508129559710355e+00 2.490475121870368014e+01
-8.038592243338294807e+00 -9.154774809905958932e+00 2.497467490565052373e+01
-8.150210499995061753e+00 -9.308262547925362895e+00 2.506492002973894273e+01
-8.266015704788092222e+00 -9.456313583381417587e+00 2.517524064509928294e+01
-8.385045492647424936e+00 -9.597198950839263887e+00 2.530516572384451734e+01
-8.506260838466609187e+00 -9.729137211419260467e+00 2.545397874582483055e+01
-8.628548475761874670e+00 -9.850318702513828129e+00 2.562069961372234772e+01
-8.750725498437070371e+00 -9.958935394158650922e+00 2.580407017464142427e+01
-8.871546488009228071e+00 -1.005321616778158145e+01 2.600254472776580528e+01
-8.989713455986462876e+00 -1.013146700313557425e+01 2.621428692880082778e+01
-9.103888810701374013e+00 -1.019211518377792913e+01 2.643717444408173733e+01
-9.212711448009029525e+00 -1.023375623037665427e+01 2.666881254144056967e+01
